projectSlug,projectName,recordType,parentProjectSlug,region,country,stateProvince,cityArea,latitude,longitude,locationPrecision,mapAnchorType,sector,subsector,capacityAmount,capacityUnit,capacityNotes,projectValueAmount,projectValueCurrency,projectValueScale,projectValueBasis,projectValueNotes,ownerDeveloper,clientAuthority,currentProjectStage,latestMilestone,latestMilestoneSummary,projectSummary,latestUpdateSummary,latestCfArticleUrl,bdTiming,opportunityCategories,potentialOpportunities,targetBuyerTypes,mapEligibilityStatus,mapEligibilityNotes,constructionStartYear,constructionStartQuarter,constructionStartPrecision,constructionStartNotes,constructionCompletionYear,constructionCompletionQuarter,constructionCompletionPrecision,constructionCompletionNotes,operationsStartYear,operationsStartQuarter,operationsStartPrecision,operationsStartNotes,latestUpdateDate,reviewStatus,sourceNotes
el-patrimonio-solar-project,El Patrimonio Solar Project,Project,,North America,United States,Texas,Bexar County,29.448,-98.520,County / Region,Approximate Project Location,Energy,Solar,150,MWac,Article states 150MWac solar project and CPS Energy PPA for about 70% of output.,,,Unknown,Unknown,Project value not stated in reviewed article.,Ashtrom Renewable Energy,CPS Energy,Under Construction,Groundbreaking / construction start,Construction start reported; source says construction began in 2025.,"150MWac solar project in Bexar County, Texas, developed by Ashtrom Renewable Energy with CPS Energy as offtaker for most output.","Construction/groundbreaking reported, with SOLV Energy identified as construction-through-operations partner.",https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,Late Stage,Electrical BoP; Grid Connection; Commissioning; Operations & Maintenance; Design / Engineering; Project Controls; Commercial Management,"Late-stage subcontracting, commissioning, grid interface, owner-side advisory, O&M readiness, commercial management and risk/insurance support.",Electrical Contractor; Specialist Subcontractor; Engineering Consultant; Operator / O&M Provider; Commercial / Claims Consultant; Insurer / Broker,Map Ready - Approximate,"County-level coordinates only; suitable for approximate beta placement, not exact site marker.",2025,Unknown,Year,Article says construction began in 2025; no quarter or exact date captured.,,Unknown,Unknown,No construction completion timing stated in reviewed article.,2027,Unknown,Indicative,"Article says expected operation in 2027; treated as indicative, not confirmed operational status.",2026-05-13,Approved,Source-supported construction start and indicative operations target only.
d35-motorway-ulibice-horice,D35 Motorway Úlibice-Hořice Section,Package,d35-motorway,Europe,Czech Republic,,Úlibice-Hořice corridor,50.37,15.56,Corridor,Corridor Midpoint,Transport,Road / Bridge,16.3,km,Article states 16.3km motorway section with 18 bridges.,177,EUR,Million,Contract Value,Article states EUR 177 million D35 motorway construction contract.,Czech Republic national road authority / Ředitelství silnic a dálnic,Ředitelství silnic a dálnic,Under Construction,Contract award and construction start,EUR 177m contract awarded; pilot source notes support April 2026 construction start.,"16.3km D35 motorway civil works package between Úlibice and Hořice in the Czech Republic, including bridge structures.",STRABAG-led consortium won the EUR 177m construction contract and works were reported as starting in April 2026.,https://constructionfront.com/2026-05-07-strabag-consortium-wins-177-million-d35-motorway-contract-in-the-czech-republic/,Contractor Route,Civil Works; Earthworks; Roadworks / Access Roads; Drainage; Utilities Relocation; Concrete Works; Steel / Structural; Project Controls; Commercial Management,"Contractor-route subcontracting, earthworks, structures, drainage, utilities relocation, road technology, commercial management, claims support and risk advisory.",Main Contractor; Civil Contractor; Specialist Subcontractor; Engineering Consultant; Commercial / Claims Consultant; Insurer / Broker,Map Ready - Approximate,"Corridor midpoint coordinates; map as route/package approximation, not a point asset.",2026,Q2,Quarter,Pilot source notes support April 2026 construction start; recorded as Q2 rather than exact date.,,Unknown,Unknown,No physical completion milestone reported.,,Unknown,Unknown,No opened-to-traffic or in-service date reported.,2026-05-07,Approved,UTF-8 names retained: Úlibice-Hořice and Ředitelství silnic a dálnic.
beacon-point-ai-data-center-campus,Beacon Point AI Data Center Campus,Project,,North America,United States,Texas,Nueces County,27.8006,-97.3964,County / Region,Approximate Project Location,Digital Infrastructure,Data Centre,1000,MW,Article states 1GW utility capacity on a 525-acre campus.,17,USD,Billion,Phase Value,Article states USD 17 billion for the first two phases.,Hut 8,Hut 8,Contract Awarded,EPCM contract awarded,Sole-source EPCM contract awarded to Jacobs; no construction completion or operational milestone implied.,"Hut 8 planned 1GW AI data center campus in Nueces County, Texas, with Jacobs appointed for EPCM services.",Jacobs was awarded sole-source EPCM for Hut 8’s planned 1GW Beacon Point AI data center campus.,https://constructionfront.com/2026-05-14-jacobs-awarded-epcm-contract-for-hut-8-1gw-beacon-point-ai-data-center-campus-in-texas/,Contractor Route,Electrical BoP; Mechanical BoP; Cabling; Technology / Software; Design / Engineering; Project Controls; Commercial Management; Insurance / Risk Advisory; Commissioning,"EPCM-adjacent package support, electrical and mechanical systems, commissioning, technology/software integration, procurement support, project controls and risk advisory.",EPCM Contractor; Electrical Contractor; Mechanical Contractor; Specialist Subcontractor; Equipment Supplier; Engineering Consultant; Technology Vendor; Insurer / Broker,Map Ready - Approximate,County/campus-area coordinates suitable for approximate beta placement; exact site coordinates not captured.,,Unknown,Unknown,Construction start timing not stated; project remains at contract-awarded stage.,,Unknown,Unknown,No construction completion milestone reported.,2027,Q1,Indicative,Article says 700MW expected by Q1 2027; treated as indicative energization/operations timing.,2026-05-14,Approved,Do not treat indicative Q1 2027 target as current operational status.
commonwealth-lng,Commonwealth LNG,Project,,North America,United States,Louisiana,Cameron Parish,29.78,-93.30,County / Region,Approximate Project Location,Energy,Gas / LNG,9.5,Mtpa,Article states 9.5Mtpa LNG export facility.,9.75,USD,Billion,Project Financing,Article states USD 9.75 billion project financing and USD 21.25 billion total commitments; project value basis remains financing-focused.,Caturus / Commonwealth LNG,Caturus / Commonwealth LNG,Under Construction,"FID reached, financial close and full NTP","Project-level FID reached, USD 9.75bn financing closed and full NTP issued to Technip Energies.","9.5Mtpa LNG export project in Cameron Parish, Louisiana, developed by Caturus/Commonwealth LNG with Technip Energies as EPC contractor.","Caturus reached FID, closed USD 9.75bn financing and issued full NTP to Technip Energies, but operations timing still needs source check.",https://constructionfront.com/2026-05-16-caturus-reaches-fid-closes-9-75bn-financing-and-issues-ntp-to-technip-energies-for-commonwealth-lng-in-louisiana/,Contractor Route,Civil Works; Electrical BoP; Mechanical BoP; Process Plant; Pipelines; Equipment Supply; Commissioning; Project Controls; Commercial Management; Financing / Investment; Insurance / Risk Advisory; Legal / Contract Advisory,"Execution-phase EPC supply chain, long-lead equipment, modules, civil works, electrical and mechanical packages, commissioning, lender/investor advisory, insurance/risk and commercial management support.",EPC Contractor; Civil Contractor; Electrical Contractor; Mechanical Contractor; Specialist Subcontractor; Equipment Supplier; Engineering Consultant; Commercial / Claims Consultant; Legal Advisor; Insurer / Broker; Lender / Investor,Map Ready - Approximate,Cameron Parish-level coordinates; suitable only as approximate placement and record remains source-check flagged.,,Unknown,Unknown,"Full NTP indicates execution path and current stage is under construction, but exact physical construction start timing is not captured.",,Unknown,Unknown,No construction completion milestone reported.,,Unknown,Unknown,"Operation timing is inconsistent in reviewed article, so operations start is left unknown pending source check.",2026-05-16,Needs Source Check,"Stage is Under Construction because full NTP/FID indicates execution, but timeline fields avoid guessing dates."
german-grid-expansion-amprion-financing,German Grid Expansion / Amprion Financing JV,Programme / Financing Record,,Europe,Germany,,Berlin - national programme anchor,52.52,13.405,National,Country Capital Anchor,Energy,Transmission / Grid,,,Broad grid expansion financing programme; no discrete capacity figure captured in sample.,3.2,EUR,Billion,JV Contribution,Article states EUR 3.2 billion upfront contribution linked to RWE shareholding in Amprion.,Amprion; RWE; Apollo Global Management,Amprion,Early Development,Strategic joint venture formed,Strategic JV/equity contribution for grid expansion programme; not formal project-level financial close.,"Broad financing and investment record linked to RWE, Apollo and Amprion grid expansion rather than a single construction project or site.",RWE and Apollo formed a strategic JV with a EUR 3.2bn contribution linked to RWE’s Amprion shareholding.,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,Early Watch,Transmission Lines; Substations; Design / Engineering; Owner's Engineer; Environmental / Planning; Project Controls; Financing / Investment; Legal / Contract Advisory; Insurance / Risk Advisory,"Monitor future Amprion programme/package procurements for grid, substation, engineering, planning/environmental, project controls, financing, legal/contract and risk advisory opportunities.",Developer / Owner; Engineering Consultant; Lender / Investor; Legal Advisor; Insurer / Broker; Equipment Supplier,Map Ready - Approximate,"Broad national/grid programme. Berlin is used as a country-level map anchor only, not as the physical project location.",,Unknown,Unknown,No construction start date for a discrete project/package stated; record is a programme/financing item.,,Unknown,Unknown,No physical completion milestone for a discrete asset stated.,,Unknown,Unknown,No operational commencement for a discrete asset stated.,2025-09-08,Needs Source Check,Use programme/financing classification; Berlin is a display anchor only.
wagerup-bess,Wagerup BESS,Project,,Australia & NZ,Australia,Western Australia,Wagerup Power Station / South West,-32.929,115.889,City / Local Area,Approximate Project Location,Energy,BESS,100 / 200,MW / MWh,Article states 100MW/200MWh battery energy storage system.,50,AUD,Million,Contract Value,Article states approximately AUD 50 million balance-of-plant contract value.,Alinta Energy,Alinta Energy,Contract Awarded,Balance-of-plant contract awarded,GenusPlus was awarded the BoP works contract for the 100MW/200MWh Wagerup BESS.,Battery energy storage project at/near Wagerup Power Station in Western Australia for Alinta Energy.,"GenusPlus was selected to deliver balance-of-plant works, with SEPD and Sunterra named in the battery-system delivery chain.",https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,Contractor Route,Balance of Plant (BoP); Electrical BoP; Civil Works; Earthworks; Foundations; Grid Connection; Cabling; Commissioning; Operations & Maintenance; Project Controls; Procurement / Supply Chain; Commercial Management,"BoP subcontracting, electrical works, civil works, grid integration, commissioning, project controls, O&M readiness and commercial/risk advisory.",EPC Contractor; Civil Contractor; Electrical Contractor; Specialist Subcontractor; Equipment Supplier; Engineering Consultant; Operator / O&M Provider; Commercial / Claims Consultant,Map Ready - Approximate,"Approximate Wagerup Power Station/local-area anchor, not an exact BESS site coordinate.",,Unknown,Unknown,Construction start timing not stated in reviewed article.,,Unknown,Unknown,No construction completion milestone reported.,,Unknown,Unknown,No operational commencement timing stated.,2025-09-20,Approved,"Approved pilot record confirms owner, contractor, capacity, location and approximate AUD 50m BoP value."
hamilton-lrt,Hamilton LRT,Project / Corridor,,North America,Canada,Ontario,"Hamilton, McMaster University to Eastgate Square corridor",43.2557,-79.8711,Corridor,Corridor Midpoint,Transport,Rail / Metro,14,km,Article states 14km LRT corridor with 17 stops.,,,Unknown,Unknown,Article reviewed for the sample does not state a project value.,Metrolinx,Metrolinx,Pre-Construction / Design,Alliance development partner selected,Aecon-led alliance selected for civil and utilities works development phase.,"14km Hamilton LRT corridor in Ontario from McMaster University to Eastgate Square, led by Metrolinx.","Aecon-led alliance was selected for civil and utilities works, with Hatch-Egis-SYSTRA as design partner.",https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/,Active Opportunity,Civil Works; Utilities Relocation; Rail Systems; Stations / Buildings; Design / Engineering; Owner's Engineer; Environmental / Planning; Project Controls; Procurement / Supply Chain; Commercial Management,"Development-phase design, utilities coordination, civil works planning, project controls, commercial advisory, risk/insurance support and future subcontracting packages.",Main Contractor; Civil Contractor; Specialist Subcontractor; Engineering Consultant; Commercial / Claims Consultant; Legal Advisor; Insurer / Broker,Map Ready - Approximate,"Corridor-level Hamilton anchor, not a single exact project site.",,Unknown,Unknown,Construction start not stated; article describes development/pre-construction phase.,,Unknown,Unknown,No completion milestone reported.,,Unknown,Unknown,No operational commencement timing stated.,2026-05-04,Approved,"Approved pilot record confirms Metrolinx, Aecon-led alliance, design partner, corridor length and development phase."
north-shore-wastewater-treatment-plant,North Shore Wastewater Treatment Plant,Project,,North America,Canada,British Columbia,North Shore / Vancouver,49.31,-123.08,City / Local Area,Approximate Project Location,Water,Wastewater Treatment,,,Treatment capacity not captured in reviewed sample source notes.,3.86,CAD,Billion,Programme Value,Pilot source notes identify CAD 3.86 billion programme estimate; separate event value captures the CAD 235 million settlement.,Greater Vancouver Sewerage and Drainage District / Metro Vancouver,Metro Vancouver,Under Construction,Settlement and completion contractor update,Metro Vancouver and Acciona settled claims while PCL remains current completion contractor.,"Major wastewater treatment plant programme for Metro Vancouver’s North Shore, with PCL leading current completion works.",Metro Vancouver and Acciona settled claims for CAD 235m; current completion delivery continues with PCL and design support.,https://constructionfront.com/2026-05-17-metro-vancouver-and-acciona-settle-north-shore-wastewater-treatment-plant-claims-for-235-million/,Contractor Route,Water / Wastewater; Mechanical BoP; Process Plant; Commissioning; Design / Engineering; Owner's Engineer; Claims / Dispute Support; Legal / Contract Advisory; Commercial Management; Operations & Maintenance,"Completion delivery support, process equipment, commissioning, design support, claims/commercial advisory, legal/contract support and O&M readiness.",Main Contractor; Mechanical Contractor; Specialist Subcontractor; Equipment Supplier; Engineering Consultant; Commercial / Claims Consultant; Legal Advisor; Operator / O&M Provider,Map Ready - Approximate,"North Shore/Vancouver project-area anchor, not exact plant coordinate.",,Unknown,Unknown,"Project is under construction/completion, but exact original construction start is not captured in reviewed sample notes.",2030,Unknown,Indicative,Pilot source notes identify 2030 construction completion target; treated as indicative.,,Unknown,Unknown,No operations start date confirmed in reviewed update.,2026-05-17,Approved,"Approved pilot record confirms owner, current contractor, settlement, programme estimate and target completion context."
ol32-skavsta-rail-contract,OL32 Skavsta Rail Contract,Package,east-link-programme,Europe,Sweden,Södermanland,Skavsta / East Link corridor south of Stockholm,58.788,16.912,Corridor,Corridor Midpoint,Transport,Rail / Metro,36,km,Article states 36km railway package with 28 bridges and 3 viaducts.,1.2,EUR,Billion,Package Value,Article describes a potential EUR 1.2 billion execution phase; first order is captured as event value.,Trafikverket,Trafikverket,Pre-Construction / Design,Consortium selected / first order placed,"Feronord consortium selected, with first EUR 50m order and potential later execution phase.","36km OL32 Skavsta rail package within Sweden’s East Link programme, south of Stockholm.",Feronord consortium was selected for a staged collaborative contract with a first EUR 50m order and potential EUR 1.2bn execution phase.,https://constructionfront.com/2026-05-11-feronord-consortium-selected-for-1-2-billion-ol32-skavsta-rail-contract-in-sweden/,Active Opportunity,Civil Works; Earthworks; Rail Systems; Stations / Buildings; Concrete Works; Steel / Structural; Environmental / Planning; Project Controls; Procurement / Supply Chain; Commercial Management,"Design development, civil works planning, structures, rail systems, environmental support, project controls, commercial management and supply chain packages ahead of execution.",Main Contractor; Civil Contractor; Specialist Subcontractor; Engineering Consultant; Equipment Supplier; Commercial / Claims Consultant,Map Ready - Approximate,"Skavsta corridor-level coordinate, not exact construction site.",2028,Unknown,Indicative,Potential execution phase from early 2028; treated as indicative because it depends on project moving forward.,2034,Unknown,Indicative,East Link programme construction period referenced as 2024-2034; package completion not separately confirmed.,2035,Unknown,Indicative,East Link opening planned 2035; treated as indicative programme-level operations timing.,2026-05-11,Approved,"Approved pilot record confirms Trafikverket client, Feronord members, package size, first order and potential execution value."
big-horn-i-wind-project-upgrade,Big Horn I Wind Project Upgrade,Project / Upgrade,,North America,United States,Washington,Klickitat County / Columbia River Gorge,45.80,-120.55,County / Region,Approximate Project Location,Energy,Wind,199.5,MW,Article states 199.5MW Big Horn I wind project upgrade.,,,Unknown,Unknown,PPA value and upgrade contract value not disclosed in reviewed article.,Avangrid,Puget Sound Energy,Planning / Approvals,PPA signed for upgrade,Avangrid and Puget Sound Energy signed a PPA supporting the Big Horn I wind project upgrade.,"Wind project upgrade in Klickitat County, Washington, involving Avangrid and Puget Sound Energy.",Avangrid and Puget Sound Energy signed a PPA for the 199.5MW Big Horn I wind project upgrade; contractor details remain undisclosed.,https://constructionfront.com/2026-05-21-avangrid-and-puget-sound-energy-sign-ppa-for-199-5mw-big-horn-i-wind-project-upgrade-in-washington/,O&M Opportunity,Electrical BoP; Grid Connection; Cabling; Equipment Supply; Commissioning; Operations & Maintenance; Asset Management; Commercial Management; Insurance / Risk Advisory,"Monitor for OEM/component replacement, electrical works, outage planning, logistics, commissioning, O&M, asset management and commercial/risk advisory opportunities.",Developer / Owner; Electrical Contractor; Equipment Supplier; Engineering Consultant; Operator / O&M Provider; Commercial / Claims Consultant; Insurer / Broker,Map Ready - Approximate,"Approximate Klickitat County/project-area anchor, not an exact turbine/site coordinate.",,Unknown,Unknown,Construction/upgrade start timing not disclosed in reviewed article.,,Unknown,Unknown,No construction completion milestone reported.,2028,Unknown,Indicative,Article states 2028 commercial operation target for upgraded facility; treated as indicative future operations timing.,2026-05-21,Needs Contractor Verification,"Pilot record confirms PPA, owner/offtaker and project area but contractor and detailed upgrade scope are not disclosed."
