partyId,projectSlug,updateId,partyName,partyRole,partyType,notes,sourceUrl,reviewStatus
PTY-ELP-001,el-patrimonio-solar-project,UPD-ELP-20260513,Ashtrom Renewable Energy,Owner / Developer,Private Developer,Developer named in article.,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,Approved
PTY-ELP-002,el-patrimonio-solar-project,UPD-ELP-20260513,CPS Energy,Offtaker / Utility / Power Purchaser,Utility,20-year PPA covers about 70% of output; not a contractor role.,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,Approved
PTY-ELP-003,el-patrimonio-solar-project,UPD-ELP-20260513,SOLV Energy,Construction and O&M Partner,Contractor / Service Provider,Article identifies SOLV Energy construction-through-operations role.,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,Approved
PTY-D35-001,d35-motorway-ulibice-horice,UPD-D35-20260507,Ředitelství silnic a dálnic,Client / Public Authority,Public Authority,National road authority/client.,https://constructionfront.com/2026-05-07-strabag-consortium-wins-177-million-d35-motorway-contract-in-the-czech-republic/,Approved
PTY-D35-002,d35-motorway-ulibice-horice,UPD-D35-20260507,STRABAG-led consortium,Main Contractor / Consortium,Contractor JV / Consortium,JV/consortium record retained for searchable consortium name.,https://constructionfront.com/2026-05-07-strabag-consortium-wins-177-million-d35-motorway-contract-in-the-czech-republic/,Approved
PTY-D35-003,d35-motorway-ulibice-horice,UPD-D35-20260507,STRABAG SIS a.s.,JV Member / Contractor,Contractor,Consortium member split out from JV for searchability.,https://constructionfront.com/2026-05-07-strabag-consortium-wins-177-million-d35-motorway-contract-in-the-czech-republic/,Approved
PTY-BEACON-001,beacon-point-ai-data-center-campus,UPD-BEACON-20260514,Hut 8,Owner / Developer,Private Developer / Operator,Owner/developer of Beacon Point campus.,https://constructionfront.com/2026-05-14-jacobs-awarded-epcm-contract-for-hut-8-1gw-beacon-point-ai-data-center-campus-in-texas/,Approved
PTY-BEACON-002,beacon-point-ai-data-center-campus,UPD-BEACON-20260514,Jacobs,EPCM Contractor,Engineering / EPCM Contractor,Sole-source EPCM contract award; not an owner role.,https://constructionfront.com/2026-05-14-jacobs-awarded-epcm-contract-for-hut-8-1gw-beacon-point-ai-data-center-campus-in-texas/,Approved
PTY-CWLNG-001,commonwealth-lng,UPD-CWLNG-20260516,Caturus / Commonwealth LNG,Owner / Developer,Private Developer,Developer/owner group for Commonwealth LNG.,https://constructionfront.com/2026-05-16-caturus-reaches-fid-closes-9-75bn-financing-and-issues-ntp-to-technip-energies-for-commonwealth-lng-in-louisiana/,Needs Source Check
PTY-CWLNG-002,commonwealth-lng,UPD-CWLNG-20260516,Technip Energies,EPC Contractor,Contractor,Full NTP issued for EPC execution.,https://constructionfront.com/2026-05-16-caturus-reaches-fid-closes-9-75bn-financing-and-issues-ntp-to-technip-energies-for-commonwealth-lng-in-louisiana/,Needs Source Check
PTY-CWLNG-003,commonwealth-lng,UPD-CWLNG-20260516,Baker Hughes,Equipment Supplier,Supplier,Named in pilot source notes as key contractor/supplier; exact package should be verified before production use.,https://constructionfront.com/2026-05-16-caturus-reaches-fid-closes-9-75bn-financing-and-issues-ntp-to-technip-energies-for-commonwealth-lng-in-louisiana/,Needs Source Check
PTY-CWLNG-004,commonwealth-lng,UPD-CWLNG-20260516,EQT,Offtaker / Commercial Counterparty,Offtaker / Customer,Named in pilot source notes among commercial parties; classify separately from contractor.,https://constructionfront.com/2026-05-16-caturus-reaches-fid-closes-9-75bn-financing-and-issues-ntp-to-technip-energies-for-commonwealth-lng-in-louisiana/,Needs Source Check
PTY-CWLNG-005,commonwealth-lng,UPD-CWLNG-20260516,PETRONAS,Offtaker / Commercial Counterparty,Offtaker / Customer,Named in pilot source notes among commercial parties; classify separately from contractor.,https://constructionfront.com/2026-05-16-caturus-reaches-fid-closes-9-75bn-financing-and-issues-ntp-to-technip-energies-for-commonwealth-lng-in-louisiana/,Needs Source Check
PTY-GERGRID-001,german-grid-expansion-amprion-financing,UPD-GERGRID-20250908,Amprion,Network Owner / Client,Transmission System Operator,Grid company associated with the financing programme.,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,Needs Source Check
PTY-GERGRID-002,german-grid-expansion-amprion-financing,UPD-GERGRID-20250908,RWE,Investor / Shareholder,Utility / Investor,"JV participant; classify as investor/shareholder, not contractor.",https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,Needs Source Check
PTY-GERGRID-003,german-grid-expansion-amprion-financing,UPD-GERGRID-20250908,Apollo Global Management,Lender / Financier / Investor,Financial Investor,Infrastructure equity financing role; not contractor.,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,Needs Source Check
